,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,110.75501203536987,-79.837517619133,32.13855016231537,7.584654680653764,26637
1,1a,104.75501418113708,-82.9625164270401,9.560479879379272,7.543988056647655,
2,1b,112.75501132011414,-81.40001702308655,26.82606303691864,7.054914563198351,
3,1c,106.75501346588135,-73.58752000331879,38.77915906906128,6.799890207456783,
4,2,24.755042791366577,-78.27501821517944,32.13855016231537,7.369876916461791,27048
5,2a,30.755040645599365,-65.77502298355103,44.09164619445801,6.901871343240932,
6,2b,26.75504207611084,-84.52501583099365,36.122915506362915,6.896385647555763,
7,2c,26.75504207611084,-89.21251404285431,24.169819474220276,6.868338492403528,
8,3,90.75501918792725,-64.21252357959747,17.529210567474365,4.72692353294939,87
9,3a,96.75501704216003,-70.46252119541168,18.857332348823547,3.5726208988490686,
10,4,66.7550277709961,-65.77502298355103,37.4510372877121,4.601199394748881,112
11,5,66.7550277709961,-98.58751046657562,48.076011538505554,4.175837978507044,161
