Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-Cortex,49550,202518.41,26.54
Right-Cerebral-White-Matter,35204,143884.12,18.86
Left-Cerebral-Cortex,26277,107398.11,14.07
Left-Cerebral-White-Matter,25157,102820.5,13.47
Left-Cerebellum-Cortex,8846,36154.95,4.74
Right-Cerebellum-Cortex,8633,35284.39,4.62
Left-Cerebellum-White-Matter,2965,12118.41,1.59
Right-Cerebellum-White-Matter,2692,11002.61,1.44
Brain-Stem,970,3964.54,0.52
Left-Hippocampus,346,1414.15,0.19
Left-Putamen,340,1389.63,0.18
Left-Amygdala,226,923.7,0.12
Left-Ventral-DC,171,698.9,0.09
Right-Hippocampus,113,461.85,0.06
Left-Thalamus,93,380.11,0.05
Right-Amygdala,90,367.84,0.05
Left-Pallidum,90,367.84,0.05
Right-Putamen,67,273.84,0.04
Left-Accumbens-Area,76,310.62,0.04
4th-Ventricle,43,175.75,0.02
Left-Inferior-Lateral-Ventricle,38,155.31,0.02
Left-Caudate,37,151.22,0.02
Right-Caudate,13,53.13,0.01
Right-Inferior-Lateral-Ventricle,27,110.35,0.01
Right-Accumbens-Area,15,61.31,0.01
Left-Lateral-Ventricle,7,28.61,0.0
