Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Left-Cerebral-White-Matter,35499,145089.83,218078.45,66.53
Right-Cerebral-White-Matter,35178,143777.85,219032.73,65.64
Brain-Stem,2915,11914.05,18370.56,64.85
Left-Ventral-DC,603,2464.55,3932.3,62.67
Left-Cerebellum-White-Matter,2358,9637.51,15413.9,62.52
Right-Ventral-DC,570,2329.68,3827.96,60.86
Right-Cerebellum-White-Matter,2190,8950.86,14926.23,59.97
Left-Cerebellum-Cortex,6172,25225.91,42530.02,59.31
Right-Cerebellum-Cortex,5434,22209.59,38764.91,57.29
Right-Thalamus,1089,4450.91,8375.05,53.14
Left-Pallidum,245,1001.35,1899.58,52.71
Left-Thalamus,1089,4450.91,8512.04,52.29
Right-Pallidum,237,968.66,1858.25,52.13
Left-Cerebral-Cortex,33152,135497.28,272523.3,49.72
Right-Cerebral-Cortex,32932,134598.11,274192.25,49.09
Right-Amygdala,171,698.9,1503.46,46.49
Left-Accumbens-Area,84,343.32,750.18,45.77
Right-Accumbens-Area,88,359.67,820.38,43.84
Left-Amygdala,168,686.64,1591.65,43.14
Left-Caudate,385,1573.55,3935.41,39.98
Right-Putamen,535,2186.63,5705.12,38.33
Right-Hippocampus,413,1687.99,4459.51,37.85
Right-Caudate,370,1512.25,4109.87,36.8
Left-Putamen,532,2174.37,5991.65,36.29
Left-Hippocampus,378,1544.94,4290.3,36.01
3rd-Ventricle,47,192.1,783.05,24.53
Left-Lateral-Ventricle,309,1262.93,5343.43,23.64
Right-Lateral-Ventricle,251,1025.88,5197.81,19.74
4th-Ventricle,78,318.8,1729.33,18.43
Right-Inferior-Lateral-Ventricle,32,130.79,774.74,16.88
Left-Inferior-Lateral-Ventricle,26,106.27,738.11,14.4
