Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Left-Cerebral-White-Matter,35499,145089.83,10.54
Right-Cerebral-White-Matter,35178,143777.85,10.44
Left-Cerebral-Cortex,33152,135497.28,9.84
Right-Cerebral-Cortex,32932,134598.11,9.78
Left-Cerebellum-Cortex,6172,25225.91,1.83
Right-Cerebellum-Cortex,5434,22209.59,1.61
Brain-Stem,2915,11914.05,0.87
Left-Cerebellum-White-Matter,2358,9637.51,0.7
Right-Cerebellum-White-Matter,2190,8950.86,0.65
Left-Thalamus,1089,4450.91,0.32
Right-Thalamus,1089,4450.91,0.32
Left-Ventral-DC,603,2464.55,0.18
Right-Ventral-DC,570,2329.68,0.17
Right-Putamen,535,2186.63,0.16
Left-Putamen,532,2174.37,0.16
Right-Hippocampus,413,1687.99,0.12
Right-Caudate,370,1512.25,0.11
Left-Caudate,385,1573.55,0.11
Left-Hippocampus,378,1544.94,0.11
Left-Lateral-Ventricle,309,1262.93,0.09
Left-Pallidum,245,1001.35,0.07
Right-Lateral-Ventricle,251,1025.88,0.07
Right-Pallidum,237,968.66,0.07
Right-Amygdala,171,698.9,0.05
Left-Amygdala,168,686.64,0.05
Right-Accumbens-Area,88,359.67,0.03
4th-Ventricle,78,318.8,0.02
Left-Accumbens-Area,84,343.32,0.02
Left-Inferior-Lateral-Ventricle,26,106.27,0.01
3rd-Ventricle,47,192.1,0.01
Right-Inferior-Lateral-Ventricle,32,130.79,0.01
