Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Left-Cerebral-Cortex,18651,161469.31,4.68
Left-Cerebral-White-Matter,16783,145297.27,4.21
Right-Cerebral-Cortex,11825,102373.84,2.97
Right-Cerebral-White-Matter,10286,89050.09,2.58
Left-Cerebellum-Cortex,5175,44802.08,1.3
Brain-Stem,2152,18630.74,0.54
Right-Cerebellum-Cortex,1989,17219.58,0.5
Left-Cerebellum-White-Matter,1536,13297.78,0.39
Right-Cerebellum-White-Matter,1137,9843.47,0.29
Left-Thalamus,942,8155.28,0.24
Right-Thalamus,949,8215.88,0.24
Right-Putamen,664,5748.52,0.17
Left-Putamen,673,5826.44,0.17
Left-Lateral-Ventricle,563,4874.12,0.14
Right-Lateral-Ventricle,522,4519.17,0.13
Right-Hippocampus,488,4224.81,0.12
Right-Caudate,475,4112.27,0.12
Left-Hippocampus,485,4198.84,0.12
Right-Ventral-DC,454,3930.46,0.11
Left-Ventral-DC,447,3869.86,0.11
Left-Caudate,454,3930.46,0.11
4th-Ventricle,207,1792.08,0.05
Left-Amygdala,195,1688.19,0.05
Right-Amygdala,182,1575.65,0.05
Right-Pallidum,206,1783.43,0.05
Left-Pallidum,205,1774.77,0.05
3rd-Ventricle,106,917.69,0.03
Left-Inferior-Lateral-Ventricle,73,631.99,0.02
Left-Accumbens-Area,92,796.48,0.02
Right-Inferior-Lateral-Ventricle,70,606.02,0.02
Right-Accumbens-Area,86,744.54,0.02
