Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
3rd-Ventricle,106,917.69,783.05,117.19
Left-Accumbens-Area,92,796.48,750.18,106.17
Left-Amygdala,195,1688.19,1591.65,106.07
Left-Cerebellum-Cortex,5192,44949.26,42530.02,105.69
Right-Amygdala,182,1575.65,1503.46,104.8
4th-Ventricle,207,1792.08,1729.33,103.63
Right-Ventral-DC,454,3930.46,3827.96,102.68
Brain-Stem,2152,18630.74,18370.56,101.42
Right-Putamen,664,5748.52,5705.12,100.76
Right-Caudate,475,4112.27,4109.87,100.06
Left-Caudate,454,3930.46,3935.41,99.87
Left-Ventral-DC,447,3869.86,3932.3,98.41
Left-Putamen,679,5878.38,5991.65,98.11
Right-Thalamus,949,8215.88,8375.05,98.1
Left-Hippocampus,485,4198.84,4290.3,97.87
Right-Hippocampus,500,4328.7,4459.51,97.07
Right-Pallidum,206,1783.43,1858.25,95.97
Left-Thalamus,942,8155.28,8512.04,95.81
Left-Pallidum,205,1774.77,1899.58,93.43
Right-Lateral-Ventricle,554,4796.2,5197.81,92.27
Left-Lateral-Ventricle,566,4900.09,5343.43,91.7
Right-Accumbens-Area,86,744.54,820.38,90.76
Left-Cerebellum-White-Matter,1536,13297.78,15413.9,86.27
Left-Inferior-Lateral-Ventricle,73,631.99,738.11,85.62
Right-Inferior-Lateral-Ventricle,74,640.65,774.74,82.69
Right-Cerebellum-White-Matter,1242,10752.5,14926.23,72.04
Left-Cerebral-White-Matter,17172,148665.0,218078.45,68.17
Left-Cerebral-Cortex,19020,164663.89,272523.3,60.42
Right-Cerebellum-Cortex,2365,20474.77,38764.91,52.82
Right-Cerebral-White-Matter,12536,108529.26,219032.73,49.55
Right-Cerebral-Cortex,14471,125281.34,274192.25,45.69
