Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebral-White-Matter,44353,181277.48,219032.73,82.76
Left-Cerebral-White-Matter,43994,179810.19,218078.45,82.45
Brain-Stem,3583,14644.27,18370.56,79.72
Left-Cerebellum-White-Matter,2787,11390.89,15413.9,73.9
Right-Ventral-DC,688,2811.96,3827.96,73.46
Right-Cerebellum-White-Matter,2667,10900.44,14926.23,73.03
Left-Ventral-DC,682,2787.44,3932.3,70.89
Left-Cerebellum-Cortex,6864,28054.21,42530.02,65.96
Right-Pallidum,292,1193.45,1858.25,64.22
Right-Cerebellum-Cortex,5985,24461.61,38764.91,63.1
Right-Thalamus,1282,5239.73,8375.05,62.56
Left-Thalamus,1232,5035.37,8512.04,59.16
Left-Pallidum,271,1107.62,1899.58,58.31
Right-Amygdala,212,866.48,1503.46,57.63
Right-Cerebral-Cortex,37287,152397.66,274192.25,55.58
Left-Cerebral-Cortex,37023,151318.65,272523.3,55.53
Left-Amygdala,204,833.78,1591.65,52.38
Right-Accumbens-Area,95,388.28,820.38,47.33
Left-Caudate,413,1687.99,3935.41,42.89
Left-Accumbens-Area,78,318.8,750.18,42.5
Right-Caudate,414,1692.08,4109.87,41.17
Left-Putamen,582,2378.72,5991.65,39.7
Right-Putamen,543,2219.32,5705.12,38.9
Right-Hippocampus,421,1720.69,4459.51,38.58
Left-Hippocampus,359,1467.29,4290.3,34.2
3rd-Ventricle,53,216.62,783.05,27.66
Right-Lateral-Ventricle,207,846.04,5197.81,16.28
Left-Lateral-Ventricle,192,784.73,5343.43,14.69
4th-Ventricle,40,163.49,1729.33,9.45
Right-Inferior-Lateral-Ventricle,15,61.31,774.74,7.91
Left-Inferior-Lateral-Ventricle,13,53.13,738.11,7.2
