Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-White-Matter,44353,181277.48,16.11
Left-Cerebral-White-Matter,43994,179810.19,15.98
Right-Cerebral-Cortex,37287,152397.66,13.55
Left-Cerebral-Cortex,37023,151318.65,13.45
Left-Cerebellum-Cortex,6864,28054.21,2.49
Right-Cerebellum-Cortex,5985,24461.61,2.17
Brain-Stem,3583,14644.27,1.3
Left-Cerebellum-White-Matter,2787,11390.89,1.01
Right-Cerebellum-White-Matter,2667,10900.44,0.97
Right-Thalamus,1282,5239.73,0.47
Left-Thalamus,1232,5035.37,0.45
Left-Ventral-DC,682,2787.44,0.25
Right-Ventral-DC,688,2811.96,0.25
Left-Putamen,582,2378.72,0.21
Right-Putamen,543,2219.32,0.2
Right-Hippocampus,421,1720.69,0.15
Right-Caudate,414,1692.08,0.15
Left-Caudate,413,1687.99,0.15
Left-Hippocampus,359,1467.29,0.13
Right-Pallidum,292,1193.45,0.11
Left-Pallidum,271,1107.62,0.1
Right-Amygdala,212,866.48,0.08
Right-Lateral-Ventricle,207,846.04,0.08
Left-Lateral-Ventricle,192,784.73,0.07
Left-Amygdala,204,833.78,0.07
Right-Accumbens-Area,95,388.28,0.03
Left-Accumbens-Area,78,318.8,0.03
3rd-Ventricle,53,216.62,0.02
4th-Ventricle,40,163.49,0.01
Right-Inferior-Lateral-Ventricle,15,61.31,0.01
Left-Inferior-Lateral-Ventricle,13,53.13,0.0
